,Manufacturer,Model,Project Count,Usage Count,Min Unit Cost,Max Unit Cost,Average Unit Cost,Min Unit Price,Max Unit Price,Average Unit Price,Min Unit Labor Hours,Max Unit Labor Hours,Average Unit Labor Hours
Wire,SNAP AV,B4-TOS-2,13,35,7.95,10.79,9.81,19.99,25.16,24.42,0.15,0.25,0.25
Wire,SNAP AV,B4-TOS-4,2,4,11.95,16.25,14.1,29.99,38.95,34.47,0.15,0.15,0.15
Wire,SNAP AV,B4-TOS-7.5,1,1,18.95,18.95,18.95,49.99,49.99,49.99,0.15,0.15,0.15
Equipment,SNAP AV,EP-400-UPS-8PS-600,10,11,31.95,77.12,59.56,79.95,108.95,95.64,0,0.5,0.41
Speaker,SNAP AV,ESS-1300T-IC-4,1,1,64.51,64.51,64.51,187.8,187.8,187.8,0.25,0.25,0.25
Speaker,SNAP AV,ESS-BRKT-IC-4,1,1,9.83,9.83,9.83,20.1,20.1,20.1,0.25,0.25,0.25
Equipment,SNAP AV,KIT-IR-RPTR-1X4,1,2,31.47,31.47,31.47,114.95,114.95,114.95,0,0,0
Equipment,SNAP AV,KIT-VB-PRO-14-WB-IP5,56,180,0,505.95,214.44,0,562.17,440.84,0,1.5,1.42
Equipment,SNAP AV,KIT-VB-PRO-8-WB-IP5,2,4,218.95,218.95,218.95,569.95,594.95,582.45,1,1,1
Equipment,SNAP AV,KIT-WB-300VB-RM,2,4,210.95,210.95,210.95,292.99,411.95,352.47,1,1,1
Equipment,SNAP AV,OVRC-300-PRO,1,1,149.95,149.95,149.95,649.95,649.95,649.95,1,1,1
Equipment,SNAP AV,SB-WM-T-XL-BLK,1,2,108.64,108.64,108.64,199.99,199.99,199.99,0.5,0.5,0.5
Equipment,SNAP AV,SM-ART1-S,4,4,36.95,42.34,40.15,140.95,148.95,146.95,1,1,1
Equipment,SNAP AV,SM-CS-ART1-M,2,2,102.95,118.42,110.69,249,263.95,256.48,1,1,1
Equipment,SNAP AV,SM-CS-ART2-L,5,6,159.95,169.95,166.62,377.67,423.95,400.21,0,2,1.33
Equipment,SNAP AV,SM-CS-ART2-XL,4,4,169.95,196.68,183.35,402.11,491.72,455.68,0,2.5,1.25
Equipment,SNAP AV,SM-F-L,1,1,42.99,42.99,42.99,273.38,273.38,273.38,0.5,0.5,0.5
Equipment,SNAP AV,SM-F-M,1,1,30.95,30.95,30.95,199,199,199,1,1,1
Equipment,SNAP AV,SM-LP-F-L,2,4,29.95,33.64,30.87,29.95,184.95,68.7,1,1,1
Equipment,SNAP AV,SM-RAZOR-ART1-M,8,14,130.95,142.34,136.48,264.95,277.08,267.55,0.5,2,1.18
Equipment,SNAP AV,SM-RAZOR-ART2-L,4,6,233.96,254.3,250.91,499.95,499.95,499.95,0.5,2,1.58
Equipment,SNAP AV,SM-RAZOR-F-L,11,25,44.95,52.12,47.94,51.56,211.95,196.54,0.5,0.5,0.5
Equipment,SNAP AV,SM-RAZOR-F-M,1,2,43.42,43.42,43.42,182.95,182.95,182.95,0.5,0.5,0.5
Equipment,SNAP AV,SM-RAZOR-F-XL,9,9,54.95,65.16,61.31,94.74,250.95,231.15,0.5,0.5,0.5
Equipment,SNAP AV,SM-RAZOR-T-L,33,68,71.95,83.64,78.41,87.44,235.59,198.9,0,1,0.53
Equipment,SNAP AV,SM-RAZOR-T-M,9,24,55.45,63.95,56.51,142.11,194.95,170.04,0,1,0.65
Equipment,SNAP AV,SM-RAZOR-T-XL,10,10,82.45,95.6,91.23,100,254.95,218.55,0,0.5,0.45
Equipment,SNAP AV,SM-RBX-14-BKT,50,409,6.95,8.68,7.52,6.95,23.35,14.89,0,0.25,0.16
Equipment,SNAP AV,SM-RBX-14-WH,9,110,41.95,45.6,45.24,46.61,83.95,69.41,0.5,0.5,0.5
Equipment,SNAP AV,SM-RBX-8-BKT,9,13,6.95,8.68,7.63,19.99,24.48,21.89,0.25,0.25,0.25
Equipment,SNAP AV,SM-RBX-8-WH,2,5,34.95,40.16,38.08,69.96,73.95,72.35,1,1,1
Equipment,SNAP AV,SM-RBX-PRO-14-BLK,54,311,59.95,69.51,61.39,59.95,127.95,103.8,0,1,0.49
Equipment,SNAP AV,SM-RBX-PRO-8-BLK,7,9,54.95,64.07,59.63,109.99,123.97,115.08,1,1,1
Equipment,SNAP AV,SM-T-L,7,12,44.95,52.12,46.05,65,265.95,236.49,0.5,0.5,0.5
Equipment,SNAP AV,SM-T-XL,3,5,71.95,76.95,72.95,96.19,299,258.44,0.5,1,0.9
Equipment,SNAP AV,SM-VM-ART1-IW-L,3,3,199.95,212.95,204.28,399.95,425.95,408.62,1,1.5,1.17
Equipment,SNAP AV,SM-VP-10X12-BLK,5,25,24.95,28.32,27.65,35,57.95,50.53,0.25,0.25,0.25
Equipment,SNAP AV,SR-CS-RACK-12U,2,2,125.95,136.9,131.43,252.95,274.73,263.84,1,4,2.5
